Epoch 0 :	Population total fitness: 0.10453648915187755 	Best fitness: 0.05703484549638404
Epoch 1 :	Population total fitness: 5.481015779092706 	Best fitness: 0.09089414858645632
Epoch 2 :	Population total fitness: 9.574375410913879 	Best fitness: 0.1394641683103222
Epoch 3 :	Population total fitness: 14.177761341222894 	Best fitness: 0.1729125575279422
Epoch 4 :	Population total fitness: 17.863740959894827 	Best fitness: 0.20668967784352396
Epoch 5 :	Population total fitness: 20.912886259040114 	Best fitness: 0.22690664036817879
Epoch 6 :	Population total fitness: 23.813445101906627 	Best fitness: 0.26183431952662717
Epoch 7 :	Population total fitness: 26.72986522024984 	Best fitness: 0.3006245890861276
Epoch 8 :	Population total fitness: 29.631163708086763 	Best fitness: 0.3164036817882973
Epoch 9 :	Population total fitness: 32.2078402366864 	Best fitness: 0.34188034188034183
Epoch 10 :	Population total fitness: 33.791009204470704 	Best fitness: 0.35782380013149223
Epoch 11 :	Population total fitness: 36.6140696909927 	Best fitness: 0.37491781722550926
Epoch 12 :	Population total fitness: 38.29725509533196 	Best fitness: 0.39143655489809304
Epoch 13 :	Population total fitness: 39.011505588428605 	Best fitness: 0.39143655489809304
Epoch 14 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 15 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 16 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 17 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 18 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 19 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 20 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 21 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 22 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 23 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 24 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 25 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 26 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 27 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 28 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
Epoch 29 :	Population total fitness: 39.14365548980926 	Best fitness: 0.39143655489809304
